"split","Stage_group","Cell_type","n_cells","mean_naive_prob","mean_em_mmil_prob","mean_mcem_mmil_prob"
"test","Advanced","Oligodendrocytes",5,0.863448854870287,0.83978188287541,0.840354208882188
"test","Advanced","Epithelial cells",230,0.635014119564163,0.283692533613932,0.304875078500576
"test","Advanced","Fibroblasts",3,0.74833643986831,0.277931866247279,0.295376896576889
"test","Advanced","Myeloid cells",127,0.65257977660823,0.169409755638751,0.16236661373138
"test","Advanced","Undetermined",1,0.743738293511991,0.136025228255449,0.139748447459624
"test","Advanced","NK cells",68,0.671113123044894,0.0621985713169503,0.0637038693101489
"test","Advanced","MAST cells",1,0.669364166410656,0.0589730259107207,0.0521468047704712
"test","Advanced","T lymphocytes",184,0.568930901016013,0.0497230836124168,0.0504479389009306
"test","Advanced","B lymphocytes",35,0.425889240007758,0.032444237881496,0.0317011123661783
"test","Early","Epithelial cells",60,0.750802682646728,0.402919066572962,0.408969237127786
"test","Early","Fibroblasts",18,0.718630830426718,0.0927267041847587,0.0978771169149993
"test","Early","Myeloid cells",223,0.50867548075589,0.0763968696748117,0.0749538157171885
"test","Early","NK cells",60,0.657673700691389,0.0571760153253495,0.059041387048402
"test","Early","Undetermined",2,0.719427835585432,0.0560341877670429,0.0532421047031349
"test","Early","B lymphocytes",77,0.546378256501003,0.0490105233510675,0.0476492262074456
"test","Early","Endothelial cells",26,0.426086339193808,0.0372051900810109,0.0462896161523912
"test","Early","T lymphocytes",310,0.538971026965861,0.0449435948981174,0.0455181013896703
"test","Early","MAST cells",29,0.531179404440576,0.0380877644655794,0.0334611856690548
"train","Advanced","Oligodendrocytes",16,0.893543549836886,0.892922766510077,0.890261801429499
"train","Advanced","Epithelial cells",1096,0.924446794110598,0.690134024885169,0.693805085330308
"train","Advanced","Myeloid cells",701,0.815048817489004,0.215619033288015,0.208039945857459
"train","Advanced","Undetermined",16,0.832905751602309,0.0956470866802239,0.0926786446442832
"train","Advanced","Fibroblasts",61,0.700735038497368,0.0789579741171683,0.083876825744196
"train","Advanced","NK cells",146,0.71338107872938,0.0707075662720944,0.0718272523120839
"train","Advanced","T lymphocytes",1201,0.644475384602956,0.0513754841236113,0.05233139083341
"train","Advanced","Endothelial cells",3,0.445918285976516,0.0430997336005756,0.0518797691030021
"train","Advanced","B lymphocytes",500,0.641083754161193,0.0432466536182358,0.0421126074497978
"train","Advanced","MAST cells",26,0.599272393460809,0.0306974148439985,0.0261661241011392
"train","Early","Epithelial cells",134,0.485778088610401,0.0768613169706853,0.0758658751130449
"train","Early","Myeloid cells",273,0.487489155339852,0.0678127365911843,0.0660876101208814
"train","Early","Undetermined",8,0.667398586800236,0.0562048348228127,0.0535951098609532
"train","Early","Fibroblasts",26,0.567173725447881,0.0506324416308321,0.0521145646243775
"train","Early","Endothelial cells",13,0.482978514115925,0.0435035796796347,0.0512649120602034
"train","Early","NK cells",84,0.590026597127685,0.0469936722378665,0.048152092824044
"train","Early","T lymphocytes",884,0.495642779398686,0.0372706353568,0.037828266511733
"train","Early","B lymphocytes",325,0.524848111056895,0.0329345397300912,0.0319862940797872
"train","Early","MAST cells",28,0.451014376721731,0.0303512917414505,0.0265897171705622
