"split","Stage_cat","Cell_type","n_cells","mean_naive_prob_I","mean_naive_prob_II_III","mean_naive_prob_IV","mean_cat_em_prob_I","mean_cat_em_prob_II_III","mean_cat_em_prob_IV"
"test","I","NK cells",86,0.286843251311395,0.146738645773295,0.56641810291531,0.281621312670894,0.0153447055993779,0.703033981729728
"test","I","Epithelial cells",94,0.253714498495414,0.116185970911862,0.630099530592724,0.258768099261339,0.0594364805788923,0.681795420159768
"test","I","Endothelial cells",26,0.473350648027213,0.0784223008705369,0.44822705110225,0.451568178513914,0.00670758984895299,0.541724231637133
"test","I","T lymphocytes",347,0.434118120975209,0.13030380328302,0.435578075741772,0.485862882788222,0.0164951931436169,0.497641924068161
"test","I","MAST cells",25,0.490781902002087,0.14913372904208,0.360084368955833,0.505533253090872,0.0125456354010593,0.481921111508068
"test","I","B lymphocytes",64,0.489159353911795,0.095745651984445,0.41509499410376,0.514292044057299,0.0145493417025834,0.471158614240118
"test","I","Myeloid cells",198,0.486164767868229,0.235873969980465,0.277961262151306,0.585699371879238,0.0374547374283713,0.376845890692391
"test","I","Fibroblasts",13,0.716312225444953,0.0887929900066429,0.194894784548404,0.758106564660437,0.0166383089212863,0.225255126418277
"test","II_III","Undetermined",2,0.297848053757568,0.0944030266241059,0.607748919618326,0.228230879353044,0.0113482498164662,0.76042087083049
"test","II_III","NK cells",19,0.338229267635779,0.162329292334348,0.499441440029872,0.362245692825783,0.0169921037761667,0.62076220339805
"test","II_III","B lymphocytes",28,0.452582251812877,0.118845500935405,0.428572247251718,0.477877227608703,0.0152327470976003,0.506890025293696
"test","II_III","Myeloid cells",54,0.45234812868827,0.182793925697501,0.364857945614229,0.516625576572066,0.0271228261288302,0.456251597299104
"test","II_III","T lymphocytes",137,0.470767911996239,0.158913470811039,0.370318617192722,0.54952817916854,0.0175401940246283,0.432931626806831
"test","II_III","MAST cells",7,0.536345243934128,0.167934887880946,0.295719868184926,0.602248103255832,0.0141253368008542,0.383626559943314
"test","II_III","Epithelial cells",16,0.532498530693364,0.116737362943888,0.350764106362749,0.607727234881643,0.0643884978660209,0.327884267252337
"test","II_III","Endothelial cells",2,0.634321612515206,0.0584040591175835,0.307274328367211,0.70519997311869,0.00586418551878478,0.288935841362526
"test","II_III","Fibroblasts",31,0.862007872450257,0.035757420076977,0.102234707472766,0.903812597384932,0.00692551975427182,0.0892618828607959
"test","IV","Epithelial cells",377,0.165023451597024,0.182920273294025,0.652056275108951,0.0720975671240204,0.00590577329918866,0.921996659576791
"test","IV","Myeloid cells",241,0.119851995634977,0.0833689347813368,0.796779069583686,0.0809825007003722,0.00717081704585647,0.911846682253771
"test","IV","Undetermined",4,0.177352244280833,0.0862128609470156,0.736434894772152,0.0952729299127299,0.00942616314440981,0.89530090694286
"test","IV","Fibroblasts",1,0.275594246735776,0.268863822583507,0.455541930680717,0.113387433249722,0.0111224851518806,0.875490081598398
"test","IV","NK cells",32,0.213858270002797,0.126833117114301,0.659308612882902,0.177185678354833,0.0118129212609958,0.811001400384171
"test","IV","Oligodendrocytes",2,0.112361503918179,0.463183123509507,0.424455372572314,0.0725434673446968,0.177170951834693,0.75028558082061
"test","IV","T lymphocytes",337,0.302375806139233,0.106105429433842,0.591518764426926,0.283497162134311,0.0133204787819522,0.703182359083737
"test","IV","B lymphocytes",184,0.36018478461326,0.0779945818131726,0.561820633573567,0.327023655574708,0.0116876948089473,0.661288649616345
"train","I","Undetermined",7,0.261108692340342,0.0868423544624262,0.652048953197232,0.188109868795324,0.0108392955575029,0.801050835647173
"train","I","NK cells",53,0.319007710577373,0.151021277058794,0.529971012363833,0.326861671585465,0.0165343107453653,0.65660401766917
"train","I","Epithelial cells",90,0.337842733632952,0.112230367275663,0.549926899091385,0.373734835350908,0.0553918436525204,0.570873320996571
"train","I","T lymphocytes",663,0.438061052144175,0.124451011921227,0.437487935934598,0.48744893476729,0.0161588006681951,0.496392264564515
"train","I","B lymphocytes",277,0.490771817560016,0.10120066300729,0.408027519432694,0.520169522193615,0.0145829661453534,0.465247511661032
"train","I","Endothelial cells",12,0.525505831150348,0.0871044401614037,0.387389728688249,0.543270603531053,0.00830959611265813,0.448419800356289
"train","I","Myeloid cells",241,0.472540609510088,0.193500475050219,0.333958915439693,0.554692596223743,0.0307201768364456,0.414587226939811
"train","I","MAST cells",29,0.544854208727986,0.145461496775689,0.309684294496325,0.610882351769752,0.0135148887378512,0.375602759492396
"train","I","Fibroblasts",31,0.779518893570818,0.0547837629496895,0.165697343479492,0.811980008783184,0.0102134719376989,0.177806519279117
"train","II_III","Undetermined",1,0.20793078356189,0.0967523198630341,0.695316896575076,0.121513749907026,0.00983763930368209,0.868648610789291
"train","II_III","NK cells",32,0.224114978476216,0.140999428774791,0.634885592748993,0.201361211724065,0.0132920160633674,0.785346772212568
"train","II_III","Epithelial cells",64,0.214451339172879,0.156221713186869,0.629326947640253,0.231939236516225,0.0816741741176788,0.686386589366097
"train","II_III","B lymphocytes",69,0.385386915906888,0.141440215208713,0.473172868884399,0.401593660552405,0.01573413672795,0.582672202719645
"train","II_III","T lymphocytes",227,0.391551662722811,0.148854381336653,0.459593955940536,0.425316767517891,0.0167337843393128,0.557949448142796
"train","II_III","MAST cells",9,0.459615866358096,0.147490621459291,0.392893512182613,0.468106831618517,0.0129623538893065,0.518930814492177
"train","II_III","Endothelial cells",2,0.481955218342792,0.0995824667236567,0.418462314933551,0.479325627660231,0.00867846339716768,0.511995908942601
"train","II_III","Myeloid cells",121,0.391329406615172,0.232642161464104,0.376028431920724,0.463181602475931,0.0338787536583974,0.502939643865672
"train","II_III","Oligodendrocytes",10,0.0917072978570917,0.552882517428262,0.355410184714646,0.11067045047479,0.52578641349647,0.36354313602874
"train","II_III","Fibroblasts",3,0.69353370143687,0.0906229875699931,0.215843310993137,0.69069461192444,0.0163556710456392,0.292949717029921
"train","IV","Epithelial cells",879,0.0661579139828273,0.0500823624884601,0.883759723528713,0.0477926649046907,0.008867111945205,0.943340223150104
"train","IV","Undetermined",13,0.154880057439139,0.0862520500646743,0.758867892496187,0.0909489828637814,0.00850080780416226,0.900550209332056
"train","IV","Myeloid cells",469,0.174278274805644,0.104418670744528,0.721303054449829,0.148264997313778,0.0112763931685968,0.840458609517625
"train","IV","NK cells",136,0.206671308315902,0.12190913182793,0.671419559856167,0.176172184926034,0.0113579269813593,0.812469888092607
"train","IV","T lymphocytes",868,0.300546490576476,0.128509668171066,0.570943841252457,0.290023526104146,0.0143624558640048,0.69561401803185
"train","IV","Fibroblasts",29,0.358982646488818,0.0964453656427476,0.544571987868435,0.296758254198594,0.0102525492134994,0.692989196587906
"train","IV","Oligodendrocytes",9,0.0764731572413451,0.375899547695148,0.547627295063506,0.0750129044905575,0.301645773444145,0.623341322065298
"train","IV","B lymphocytes",315,0.40479692917491,0.0960036989951209,0.499199371829969,0.39300877051378,0.0139228764114941,0.593068353074726
"train","IV","MAST cells",14,0.413846177664418,0.204477214311718,0.381676608023865,0.432284627816461,0.0186724178848822,0.549042954298657
