"Stage","Cell_type","n_cells","stage_total_cells","proportion_within_stage"
"IA","B lymphocytes",6732,58525,0.115027765912003
"IA","Endothelial cells",1307,58525,0.0223323366082871
"IA","Epithelial cells",4712,58525,0.0805126014523708
"IA","Fibroblasts",1439,58525,0.0245877829987185
"IA","MAST cells",2093,58525,0.0357624946604015
"IA","Myeloid cells",16102,58525,0.275130286202478
"IA","NK cells",3830,58525,0.0654421187526698
"IA","T lymphocytes",22221,58525,0.379683895771038
"IA","Undetermined",89,58525,0.00152071764203332
"IA2","B lymphocytes",747,3092,0.241591203104787
"IA2","Myeloid cells",51,3092,0.0164941785252264
"IA2","T lymphocytes",2278,3092,0.736739974126779
"IA2","Undetermined",16,3092,0.00517464424320828
"IA3","B lymphocytes",1698,14525,0.116901893287435
"IA3","Endothelial cells",109,14525,0.00750430292598967
"IA3","Epithelial cells",3136,14525,0.215903614457831
"IA3","Fibroblasts",215,14525,0.014802065404475
"IA3","MAST cells",104,14525,0.00716006884681583
"IA3","Myeloid cells",2171,14525,0.149466437177281
"IA3","NK cells",1442,14525,0.0992771084337349
"IA3","T lymphocytes",5607,14525,0.386024096385542
"IA3","Undetermined",43,14525,0.00296041308089501
"IB","B lymphocytes",4258,18506,0.230087539176483
"IB","Endothelial cells",130,18506,0.00702474873014158
"IB","Epithelial cells",341,18506,0.0184264562844483
"IB","Fibroblasts",226,18506,0.0122122554847077
"IB","MAST cells",175,18506,0.00945639252134443
"IB","Myeloid cells",2051,18506,0.110828920350157
"IB","NK cells",759,18506,0.0410137252782881
"IB","T lymphocytes",10519,18506,0.56841024532584
"IB","Undetermined",47,18506,0.00253971684858965
"IIA","B lymphocytes",236,6368,0.0370603015075377
"IIA","Endothelial cells",85,6368,0.0133479899497487
"IIA","Epithelial cells",503,6368,0.0789886934673367
"IIA","Fibroblasts",75,6368,0.0117776381909548
"IIA","MAST cells",159,6368,0.0249685929648241
"IIA","Myeloid cells",2652,6368,0.416457286432161
"IIA","NK cells",282,6368,0.04428391959799
"IIA","T lymphocytes",2376,6368,0.373115577889447
"IIB","B lymphocytes",1768,6639,0.266305166440729
"IIB","Myeloid cells",180,6639,0.0271125169453231
"IIB","T lymphocytes",4631,6639,0.697544810965507
"IIB","Undetermined",60,6639,0.00903750564844103
"IIIA","B lymphocytes",1386,20357,0.0680846883136022
"IIIA","Endothelial cells",365,20357,0.0179299503856167
"IIIA","Epithelial cells",2625,20357,0.128948273321216
"IIIA","Fibroblasts",1450,20357,0.0712285700250528
"IIIA","MAST cells",360,20357,0.0176843346269097
"IIIA","Myeloid cells",4048,20357,0.198850518249251
"IIIA","NK cells",1691,20357,0.083067249594734
"IIIA","Oligodendrocytes",394,20357,0.0193545217861178
"IIIA","T lymphocytes",8034,20357,0.394655401090534
"IIIA","Undetermined",4,20357,0.000196492606965663
"IV","B lymphocytes",10832,80494,0.134569036201456
"IV","Epithelial cells",25150,80494,0.312445648122841
"IV","Fibroblasts",767,80494,0.00952866052128109
"IV","MAST cells",505,80494,0.00627375953487216
"IV","Myeloid cells",14990,80494,0.186225060252938
"IV","NK cells",3547,80494,0.0440653961785972
"IV","Oligodendrocytes",322,80494,0.00400029815886898
"IV","T lymphocytes",24010,80494,0.2982831018461
"IV","Undetermined",371,80494,0.0046090391830447
