rank,experiment_id,feature_method,n_components,model_backend,glmnet_alpha,model_short,aggregation,primary_metric,accuracy,balanced_accuracy,macro_f1,multiclass_logloss
1,EXP040_categorical_three_stage_PCAk10_xgboost_seed2026,PCA,10,xgboost,NA,EM-MMIL,q99_prob,0.666666666666667,0.583333333333333,0.666666666666667,0.583333333333333,1.0908725293006
2,EXP041_categorical_three_stage_PCAk20_glmnet_ridge_seed2026,PCA,20,glmnet,0,Naive,median_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.916666666666667,0.740773698399431
3,EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026,PCA,20,glmnet,0.5,Naive,median_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.714336143191238
4,EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026,PCA,20,glmnet,0.5,EM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.825104495489558
5,EXP042_categorical_three_stage_PCAk20_glmnet_elasticnet_seed2026,PCA,20,glmnet,0.5,MCEM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.825173026903437
6,EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026,PCA,20,glmnet,1,Naive,median_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.713911152574288
7,EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026,PCA,20,glmnet,1,EM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.821474561728081
8,EXP043_categorical_three_stage_PCAk20_glmnet_lasso_seed2026,PCA,20,glmnet,1,MCEM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.822155839842806
9,EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,PCA,50,glmnet,0.5,EM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.814632369448623
10,EXP046_categorical_three_stage_PCAk50_glmnet_elasticnet_seed2026,PCA,50,glmnet,0.5,MCEM-MMIL,mean_prob,0.666666666666667,0.833333333333333,0.666666666666667,0.909090909090909,0.81770759163434
