"Sample","Sample_Origin"
"NS_02","mBrain"
"NS_03","mBrain"
"NS_04","mBrain"
"NS_06","mBrain"
"NS_07","mBrain"
"NS_12","mBrain"
"NS_13","mBrain"
"NS_16","mBrain"
"NS_17","mBrain"
"NS_19","mBrain"
"BRONCHO_11","mLN"
"EBUS_10","mLN"
"EBUS_12","mLN"
"EBUS_13","mLN"
"EBUS_15","mLN"
"EBUS_19","mLN"
"EBUS_51","mLN"
"LN_01","nLN"
"LN_02","nLN"
"LN_03","nLN"
"LN_04","nLN"
"LN_05","nLN"
"LN_06","nLN"
"LN_07","nLN"
"LN_08","nLN"
"LN_11","nLN"
"LN_12","nLN"
"LUNG_N01","nLung"
"LUNG_N06","nLung"
"LUNG_N08","nLung"
"LUNG_N09","nLung"
"LUNG_N18","nLung"
"LUNG_N19","nLung"
"LUNG_N20","nLung"
"LUNG_N28","nLung"
"LUNG_N30","nLung"
"LUNG_N31","nLung"
"LUNG_N34","nLung"
"EFFUSION_06","PE"
"EFFUSION_11","PE"
"EFFUSION_12","PE"
"EFFUSION_13","PE"
"EFFUSION_64","PE"
"BRONCHO_58","tL/B"
"EBUS_06","tL/B"
"EBUS_28","tL/B"
"EBUS_49","tL/B"
"LUNG_T06","tLung"
"LUNG_T08","tLung"
"LUNG_T09","tLung"
"LUNG_T18","tLung"
"LUNG_T19","tLung"
"LUNG_T20","tLung"
"LUNG_T25","tLung"
"LUNG_T28","tLung"
"LUNG_T30","tLung"
"LUNG_T31","tLung"
"LUNG_T34","tLung"
