"iter","mean_q_advanced","mean_sampled_y_advanced","delta"
1,0.3,0.303983005841742,0.0462561199656535
2,0.299985479176272,0.300172596919809,0.0389370862457192
3,0.299788498669225,0.30092936802974,0.0311089380590149
4,0.299489836810616,0.298353690918747,0.0243547810200449
5,0.299208878656129,0.297796070100903,0.0164924329900515
6,0.299260892789535,0.301221455124801,0.0115923318024614
7,0.29921375164925,0.300331917153479,0.00989609863057436
8,0.299294725452201,0.301433882103027,0.00842966667210534
9,0.299267583374407,0.301473712161444,0.00902804312923647
10,0.298912085942439,0.298858204992034,0.00706665354830514
11,0.298581262124767,0.298181093998937,0.0061025061478258
12,0.298126902832393,0.29815454062666,0.00701105639431691
13,0.297636778777694,0.297756240042485,0.00510671175056775
14,0.297170548511896,0.296999468932555,0.00436146475437041
15,0.296835532677041,0.297092405735528,0.00471619659268287
16,0.296200616494945,0.296216144450345,0.00416813080109713
17,0.295660948531245,0.295485926712693,0.00348248219824565
18,0.294861903819649,0.294822092405736,0.00408915036264843
19,0.29482380074763,0.29583112055231,0.00208294167134466
20,0.294824039464387,0.296216144450346,0.00229260869346559
21,0.294403181828822,0.295392989909719,0.00260057593141145
22,0.294017057964007,0.294808815719596,0.00275223864155561
23,0.292882715103622,0.291741901221454,0.00296378519792116
24,0.292763476165148,0.292498672331385,0.00285620350739138
25,0.292985461824331,0.293799787573021,0.00182153413465636
26,0.29234877649768,0.29150292087095,0.00278839809298289
27,0.292909577884135,0.29322889006904,0.00262515048634448
28,0.292670049584268,0.292883696229421,0.00282774998062324
29,0.293134786884968,0.294078597981944,0.00161358989705197
30,0.292566520601637,0.292511949017525,0.00196973308307179
