"iter","delta","q_entropy","mc_entropy","train_log_loss_inherited"
1,0.0776944051985789,0.650296381382824,0.788126633649167,0.844431147267667
2,0.0424853405076358,0.536384915794747,0.612145348118423,0.754273583846159
3,0.0231709201951797,0.471353998262374,0.498858160273968,0.738689179873895
4,0.0126300100701185,0.436189417594915,0.440417920573927,0.746372124359118
5,0.00773687147602425,0.415405767735501,0.404740342626464,0.759021535190036
6,0.00533977430550005,0.402362236537272,0.382293068171176,0.772423013553416
7,0.00354417340025176,0.394387882517232,0.372865644706549,0.782748076128915
8,0.00321382818221176,0.387076321561174,0.36374839756866,0.793812894060807
9,0.00262872933983565,0.381971178140212,0.359087341299812,0.802754102527776
10,0.00229283700431138,0.378224604744815,0.353444395963565,0.810489623941136
11,0.00185228441505482,0.373900631395002,0.347758547083997,0.818838030786601
12,0.00189711238408782,0.370855043046338,0.34412802477993,0.82582556758984
13,0.00158524782043495,0.369178403133124,0.342193684055038,0.830269856109036
14,0.00153822575095009,0.366497258138294,0.340979430503267,0.835860409646133
15,0.00147284852780721,0.364676960799508,0.33761937942537,0.840674479186
16,0.00104246496995684,0.36293604484311,0.33765215370246,0.845122276476374
17,0.00130517334007581,0.360860541904,0.333829340634818,0.849670199597135
18,0.00113025488149142,0.360249944683246,0.333882551814731,0.852614149363331
19,0.000934895770634906,0.359257751029155,0.332480979756182,0.854917697401218
20,0.000931297913259652,0.35837967442936,0.333622858534857,0.857192813987016
21,0.000966635601676148,0.358471113717161,0.33371341936014,0.857238266512154
22,0.00107926059704697,0.358504853864958,0.331804611363747,0.857990203701434
23,0.00110069131120537,0.357769879563888,0.333969271224978,0.860457164311235
24,0.000969568313775901,0.35660244158721,0.331543599016423,0.862282355700588
25,0.00116516617773676,0.354803607382426,0.326984075066781,0.866994873256791
26,0.0011297262067335,0.354454720933274,0.327082233079127,0.869636934998325
27,0.00099742330873731,0.352795997547879,0.326448777304048,0.873287254074275
28,0.000919433512307428,0.352426360963684,0.328834079592246,0.874147087909589
29,0.00102245132169732,0.352191718628863,0.325975256949118,0.876092695548317
30,0.00104881658650459,0.352113672200619,0.32676760327479,0.874920534552357
31,0.00116484433985648,0.352310653911557,0.327646304696321,0.87528175213083
32,0.000924780594056293,0.352209067142511,0.327672959388867,0.876050577762816
33,0.00126232949614117,0.350686262034116,0.326602833211902,0.880338684406091
34,0.000941166119244631,0.349367596831432,0.322708194771324,0.883806092708818
35,0.00103666343939596,0.348207150663781,0.321309943186803,0.887855071288486
36,0.000953920107376647,0.348032580610067,0.319648824144766,0.888098638683002
37,0.00115618513796821,0.347460296608576,0.31980435172424,0.889578891608546
38,0.0013683899706774,0.347730179288154,0.323816736173246,0.889838036583393
39,0.000978524927969546,0.347055691986979,0.319819511637221,0.890493165479199
40,0.00103805250357279,0.34796274418377,0.321177414336001,0.888711569782981
